State,District,Block/Tehsil,Village,values,problem
ANDHRA PRADESH,Anantapur,Pamidi,Gajarampalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Pamidi,Gajarampalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Pamidi,Gajarampalle,0,Project
ANDHRA PRADESH,Anantapur,Pamidi,Gajarampalle,0,Others
ANDHRA PRADESH,Anantapur,Pamidi,Neelur,0,Salinity
ANDHRA PRADESH,Anantapur,Pamidi,Neelur,6,Dried_up
ANDHRA PRADESH,Anantapur,Pamidi,Neelur,1,Destroyed
ANDHRA PRADESH,Anantapur,Pamidi,Neelur,0,Sea_water
ANDHRA PRADESH,Anantapur,Pamidi,Neelur,0,Factory_waste
ANDHRA PRADESH,Anantapur,Pamidi,Neelur,0,Project
ANDHRA PRADESH,Anantapur,Pamidi,Neelur,0,Others
ANDHRA PRADESH,Anantapur,Pamidi,Palyam,0,Salinity
ANDHRA PRADESH,Anantapur,Pamidi,Palyam,4,Dried_up
ANDHRA PRADESH,Anantapur,Pamidi,Palyam,0,Destroyed
ANDHRA PRADESH,Anantapur,Pamidi,Palyam,0,Sea_water
ANDHRA PRADESH,Anantapur,Pamidi,Palyam,0,Factory_waste
ANDHRA PRADESH,Anantapur,Pamidi,Palyam,0,Project
ANDHRA PRADESH,Anantapur,Pamidi,Palyam,0,Others
ANDHRA PRADESH,Anantapur,Peddapappur,Chagallu,0,Salinity
ANDHRA PRADESH,Anantapur,Peddapappur,Chagallu,29,Dried_up
ANDHRA PRADESH,Anantapur,Peddapappur,Chagallu,0,Destroyed
ANDHRA PRADESH,Anantapur,Peddapappur,Chagallu,0,Sea_water
ANDHRA PRADESH,Anantapur,Peddapappur,Chagallu,0,Factory_waste
ANDHRA PRADESH,Anantapur,Peddapappur,Chagallu,0,Project
ANDHRA PRADESH,Anantapur,Peddapappur,Chagallu,0,Others
ANDHRA PRADESH,Anantapur,Peddapappur,Chinnayakkaluru,0,Salinity
ANDHRA PRADESH,Anantapur,Peddapappur,Chinnayakkaluru,4,Dried_up
ANDHRA PRADESH,Anantapur,Peddapappur,Chinnayakkaluru,0,Destroyed
ANDHRA PRADESH,Anantapur,Peddapappur,Chinnayakkaluru,0,Sea_water
ANDHRA PRADESH,Anantapur,Peddapappur,Chinnayakkaluru,0,Factory_waste
ANDHRA PRADESH,Anantapur,Peddapappur,Chinnayakkaluru,0,Project
ANDHRA PRADESH,Anantapur,Peddapappur,Chinnayakkaluru,0,Others
ANDHRA PRADESH,Anantapur,Peddapappur,Devanuppalapadu,0,Salinity
ANDHRA PRADESH,Anantapur,Peddapappur,Devanuppalapadu,3,Dried_up
ANDHRA PRADESH,Anantapur,Peddapappur,Devanuppalapadu,0,Destroyed
ANDHRA PRADESH,Anantapur,Peddapappur,Devanuppalapadu,0,Sea_water
ANDHRA PRADESH,Anantapur,Peddapappur,Devanuppalapadu,0,Factory_waste
ANDHRA PRADESH,Anantapur,Peddapappur,Devanuppalapadu,0,Project
ANDHRA PRADESH,Anantapur,Peddapappur,Devanuppalapadu,0,Others
ANDHRA PRADESH,Anantapur,Peddapappur,Jutur,0,Salinity
ANDHRA PRADESH,Anantapur,Peddapappur,Jutur,80,Dried_up
ANDHRA PRADESH,Anantapur,Peddapappur,Jutur,0,Destroyed
ANDHRA PRADESH,Anantapur,Peddapappur,Jutur,0,Sea_water
ANDHRA PRADESH,Anantapur,Peddapappur,Jutur,0,Factory_waste
ANDHRA PRADESH,Anantapur,Peddapappur,Jutur,0,Project
ANDHRA PRADESH,Anantapur,Peddapappur,Jutur,0,Others
ANDHRA PRADESH,Anantapur,Peddavadugur,Chitturu,0,Salinity
ANDHRA PRADESH,Anantapur,Peddavadugur,Chitturu,1,Dried_up
ANDHRA PRADESH,Anantapur,Peddavadugur,Chitturu,0,Destroyed
ANDHRA PRADESH,Anantapur,Peddavadugur,Chitturu,0,Sea_water
ANDHRA PRADESH,Anantapur,Peddavadugur,Chitturu,0,Factory_waste
ANDHRA PRADESH,Anantapur,Peddavadugur,Chitturu,0,Project
ANDHRA PRADESH,Anantapur,Peddavadugur,Chitturu,0,Others
ANDHRA PRADESH,Anantapur,Peddavadugur,Dimmagudi,0,Salinity
ANDHRA PRADESH,Anantapur,Peddavadugur,Dimmagudi,1,Dried_up
ANDHRA PRADESH,Anantapur,Peddavadugur,Dimmagudi,0,Destroyed
ANDHRA PRADESH,Anantapur,Peddavadugur,Dimmagudi,0,Sea_water
ANDHRA PRADESH,Anantapur,Peddavadugur,Dimmagudi,0,Factory_waste
ANDHRA PRADESH,Anantapur,Peddavadugur,Dimmagudi,0,Project
ANDHRA PRADESH,Anantapur,Peddavadugur,Dimmagudi,0,Others
ANDHRA PRADESH,Anantapur,Peddavadugur,Miduthuru,0,Salinity
ANDHRA PRADESH,Anantapur,Peddavadugur,Miduthuru,3,Dried_up
ANDHRA PRADESH,Anantapur,Peddavadugur,Miduthuru,0,Destroyed
ANDHRA PRADESH,Anantapur,Peddavadugur,Miduthuru,0,Sea_water
ANDHRA PRADESH,Anantapur,Peddavadugur,Miduthuru,0,Factory_waste
ANDHRA PRADESH,Anantapur,Peddavadugur,Miduthuru,0,Project
ANDHRA PRADESH,Anantapur,Peddavadugur,Miduthuru,0,Others
ANDHRA PRADESH,Anantapur,Ramagiri,Ganthimarri,0,Salinity
ANDHRA PRADESH,Anantapur,Ramagiri,Ganthimarri,1,Dried_up
ANDHRA PRADESH,Anantapur,Ramagiri,Ganthimarri,0,Destroyed
ANDHRA PRADESH,Anantapur,Ramagiri,Ganthimarri,0,Sea_water
ANDHRA PRADESH,Anantapur,Ramagiri,Ganthimarri,0,Factory_waste
ANDHRA PRADESH,Anantapur,Ramagiri,Ganthimarri,0,Project
ANDHRA PRADESH,Anantapur,Ramagiri,Ganthimarri,0,Others
ANDHRA PRADESH,Anantapur,Ramagiri,Kuntimaddi,0,Salinity
ANDHRA PRADESH,Anantapur,Ramagiri,Kuntimaddi,2,Dried_up
ANDHRA PRADESH,Anantapur,Ramagiri,Kuntimaddi,0,Destroyed
ANDHRA PRADESH,Anantapur,Ramagiri,Kuntimaddi,0,Sea_water
ANDHRA PRADESH,Anantapur,Ramagiri,Kuntimaddi,0,Factory_waste
ANDHRA PRADESH,Anantapur,Ramagiri,Kuntimaddi,0,Project
ANDHRA PRADESH,Anantapur,Ramagiri,Kuntimaddi,0,Others
ANDHRA PRADESH,Anantapur,Ramagiri,Nasanakota,0,Salinity
ANDHRA PRADESH,Anantapur,Ramagiri,Nasanakota,1,Dried_up
ANDHRA PRADESH,Anantapur,Ramagiri,Nasanakota,0,Destroyed
ANDHRA PRADESH,Anantapur,Ramagiri,Nasanakota,0,Sea_water
ANDHRA PRADESH,Anantapur,Ramagiri,Nasanakota,0,Factory_waste
ANDHRA PRADESH,Anantapur,Ramagiri,Nasanakota,0,Project
ANDHRA PRADESH,Anantapur,Ramagiri,Nasanakota,0,Others
ANDHRA PRADESH,Anantapur,Ramagiri,Ramagiri,0,Salinity
ANDHRA PRADESH,Anantapur,Ramagiri,Ramagiri,4,Dried_up
ANDHRA PRADESH,Anantapur,Ramagiri,Ramagiri,0,Destroyed
ANDHRA PRADESH,Anantapur,Ramagiri,Ramagiri,0,Sea_water
ANDHRA PRADESH,Anantapur,Ramagiri,Ramagiri,0,Factory_waste
ANDHRA PRADESH,Anantapur,Ramagiri,Ramagiri,0,Project
ANDHRA PRADESH,Anantapur,Ramagiri,Ramagiri,0,Others
ANDHRA PRADESH,Anantapur,Rayadurg,Mechiri,0,Salinity
ANDHRA PRADESH,Anantapur,Rayadurg,Mechiri,2,Dried_up
ANDHRA PRADESH,Anantapur,Rayadurg,Mechiri,0,Destroyed
ANDHRA PRADESH,Anantapur,Rayadurg,Mechiri,0,Sea_water
ANDHRA PRADESH,Anantapur,Rayadurg,Mechiri,0,Factory_waste
ANDHRA PRADESH,Anantapur,Rayadurg,Mechiri,0,Project
ANDHRA PRADESH,Anantapur,Rayadurg,Mechiri,0,Others
ANDHRA PRADESH,Anantapur,Roddam,Bokkasampalle,0,Salinity
ANDHRA PRADESH,Anantapur,Roddam,Bokkasampalle,1,Dried_up
ANDHRA PRADESH,Anantapur,Roddam,Bokkasampalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Roddam,Bokkasampalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Roddam,Bokkasampalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Roddam,Bokkasampalle,0,Project
ANDHRA PRADESH,Anantapur,Roddam,Bokkasampalle,0,Others
ANDHRA PRADESH,Anantapur,Roddam,Kalipi,0,Salinity
ANDHRA PRADESH,Anantapur,Roddam,Kalipi,0,Dried_up
ANDHRA PRADESH,Anantapur,Roddam,Kalipi,1,Destroyed
ANDHRA PRADESH,Anantapur,Roddam,Kalipi,0,Sea_water
ANDHRA PRADESH,Anantapur,Roddam,Kalipi,0,Factory_waste
ANDHRA PRADESH,Anantapur,Roddam,Kalipi,0,Project
ANDHRA PRADESH,Anantapur,Roddam,Kalipi,0,Others
ANDHRA PRADESH,Anantapur,Rolla,Kaki,0,Salinity
ANDHRA PRADESH,Anantapur,Rolla,Kaki,6,Dried_up
ANDHRA PRADESH,Anantapur,Rolla,Kaki,0,Destroyed
ANDHRA PRADESH,Anantapur,Rolla,Kaki,0,Sea_water
ANDHRA PRADESH,Anantapur,Rolla,Kaki,0,Factory_waste
ANDHRA PRADESH,Anantapur,Rolla,Kaki,0,Project
ANDHRA PRADESH,Anantapur,Rolla,Kaki,0,Others
ANDHRA PRADESH,Anantapur,Tadimarri,Dadithota,2,Salinity
ANDHRA PRADESH,Anantapur,Tadimarri,Dadithota,4,Dried_up
ANDHRA PRADESH,Anantapur,Tadimarri,Dadithota,0,Destroyed
ANDHRA PRADESH,Anantapur,Tadimarri,Dadithota,0,Sea_water
ANDHRA PRADESH,Anantapur,Tadimarri,Dadithota,0,Factory_waste
ANDHRA PRADESH,Anantapur,Tadimarri,Dadithota,0,Project
ANDHRA PRADESH,Anantapur,Tadimarri,Dadithota,0,Others
ANDHRA PRADESH,Anantapur,Tadimarri,Tadimarri,0,Salinity
ANDHRA PRADESH,Anantapur,Tadimarri,Tadimarri,1,Dried_up
ANDHRA PRADESH,Anantapur,Tadimarri,Tadimarri,0,Destroyed
ANDHRA PRADESH,Anantapur,Tadimarri,Tadimarri,0,Sea_water
ANDHRA PRADESH,Anantapur,Tadimarri,Tadimarri,0,Factory_waste
ANDHRA PRADESH,Anantapur,Tadimarri,Tadimarri,0,Project
ANDHRA PRADESH,Anantapur,Tadimarri,Tadimarri,0,Others
