State,District,Block/Tehsil,Village,No. of Surface Flow Schemes Permanently not in use due to - Salinity,No. of Surface Flow Schemes Permanently not in use due to - Dried up,No. of Surface Flow Schemes Permanently not in use due to - Destroyed beyond repair,No. of Surface Flow Schemes Permanently not in use due to - Sinking,No. of Surface Flow Schemes Permanently not in use due to - Other reasons
ANDHRA PRADESH,Chittoor,Satyavedu,Pedda Eetivakam,0,0,0,0,4
ANDHRA PRADESH,Chittoor,B.Kothakota,Gummasamudram,0,15,0,0,0
ANDHRA PRADESH,Krishna,Gampalagudem,Gosaveedu,0,3,0,0,0
ANDHRA PRADESH,Anantapur,Parigi,Yerragunta,0,0,5,0,0
ANDHRA PRADESH,Chittoor,Satyavedu,Aroor,0,0,0,0,3
ANDHRA PRADESH,Guntur,Bollapalle,Mellavagu,0,2,0,0,0
ANDHRA PRADESH,Kadapa,Lakkireddipalle,Lakkireddipalle,0,7,0,0,0
ANDHRA PRADESH,Visakhapatnam,Narsipatnam,Ordinary Laxmipuram,0,1,0,0,1
ANDHRA PRADESH,Chittoor,Thottambedu,Verupakshapuram,0,0,0,0,5
ANDHRA PRADESH,Anantapur,Gooty,Gooty (Rural),0,1,0,0,0
ANDHRA PRADESH,Visakhapatnam,Anandapuram,Gambheeram,0,0,0,0,2
ANDHRA PRADESH,Kadapa,Lakkireddipalle,Pandillapalle,0,7,0,0,0
ANDHRA PRADESH,Prakasam,Giddalur,Thimma Puram,0,2,0,0,0
ANDHRA PRADESH,Visakhapatnam,G.Madugula,Kitumulu,0,0,0,0,1
ANDHRA PRADESH,Chittoor,Thavanampalle,Diguva Thadakara,0,2,0,0,0
ANDHRA PRADESH,Kurnool,Mahanandi,Basavapuram,0,0,0,0,1
ANDHRA PRADESH,Chittoor,B.Kothakota,Badikayalapalle,0,22,0,0,0
ANDHRA PRADESH,Kurnool,Gonegandla,Alwala,0,1,0,0,0
ANDHRA PRADESH,Prakasam,Kotha Patnam,Ethamukkala,0,12,0,0,0
ANDHRA PRADESH,Kurnool,Mahanandi,Gajulapalle,0,0,0,0,1
ANDHRA PRADESH,Visakhapatnam,Narsipatnam,Gabbada,0,3,0,0,0
ANDHRA PRADESH,Chittoor,Bangarupalem,Thambuganipalle,0,7,0,0,0
ANDHRA PRADESH,Kadapa,Atlur,Thamballagondi,0,2,0,0,0
ANDHRA PRADESH,Anantapur,Bommanahal,Uddehal,0,0,0,0,1
ANDHRA PRADESH,East Godavari,Devipatnam,Lakshmipuram,0,1,0,0,0
ANDHRA PRADESH,Anantapur,Penukonda,Settipalle,0,0,1,0,0
ANDHRA PRADESH,Vizianagaram,Gummalakshmipuram,Chorupalle,0,0,1,0,0
ANDHRA PRADESH,Kadapa,Khajipet,Pathur,0,1,0,0,0
ANDHRA PRADESH,Kadapa,Chakrayapet,Chakrayapet,0,6,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Purushothapatnam,0,1,0,0,0
ANDHRA PRADESH,Prakasam,Addanki,Dhenuva Konda,0,0,1,0,0
ANDHRA PRADESH,Visakhapatnam,Anandapuram,Vemulavalasa,0,4,0,0,0
ANDHRA PRADESH,Anantapur,Kanekal,Garudachedu,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Thavanampalle,Nalisettipalle,0,3,0,0,0
ANDHRA PRADESH,Vizianagaram,Gummalakshmipuram,Kuddapalavalasa,0,0,1,0,0
ANDHRA PRADESH,Chittoor,Kurabalakota,Angallu,0,10,0,0,0
ANDHRA PRADESH,Srikakulam,Narasannapeta,Kuddam,0,0,0,0,1
ANDHRA PRADESH,Vizianagaram,Gummalakshmipuram,Balesu,0,0,1,0,0
ANDHRA PRADESH,Prakasam,Bestawaripeta,Retla Palle,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Chinnagottigallu,Kotabylu,0,7,0,0,0
ANDHRA PRADESH,Chittoor,Nimmanapalle,Mastur,0,0,0,1,0
ANDHRA PRADESH,Kadapa,Vempalle,Idupulapaya,0,1,0,0,0
ANDHRA PRADESH,Kadapa,Jammalamadugu,Goriganur,0,1,0,0,0
ANDHRA PRADESH,Visakhapatnam,Ravikamatham,Dharmavaram,0,0,0,0,1
ANDHRA PRADESH,Kadapa,Chakrayapet,Kallurupalle,0,5,0,0,0
ANDHRA PRADESH,Anantapur,Parigi,Kodigenahalli,0,0,2,0,0
ANDHRA PRADESH,Kurnool,Veldurthi,Narasapuram,0,1,0,0,0
ANDHRA PRADESH,Kurnool,Kolimigundla,Abdullapuram,0,0,1,0,2
ANDHRA PRADESH,Chittoor,Kurabalakota,Mutakanavaripalle,0,1,0,0,0
ANDHRA PRADESH,Kadapa,Chakrayapet,Errabommanapalle,1,8,0,1,0
ANDHRA PRADESH,Vizianagaram,Gajapathinagaram,Puritipenta,0,0,2,0,0
ANDHRA PRADESH,Anantapur,Pamidi,Ramarajupalle,0,4,1,0,0
ANDHRA PRADESH,Vizianagaram,Gummalakshmipuram,Amiti,0,0,1,0,0
ANDHRA PRADESH,West Godavari,Nallajerla,Ananthapalle,0,0,1,0,0
ANDHRA PRADESH,Anantapur,Kambadur,Pallur,0,0,1,0,0
ANDHRA PRADESH,Sri Potti Sriramul,Sydapuram,Chaganam,0,1,0,0,0
ANDHRA PRADESH,Prakasam,Chandra Sekhara Puram,Kovilam Padu,0,1,0,0,0
ANDHRA PRADESH,Vizianagaram,Gummalakshmipuram,Karlaguda,0,0,1,0,0
ANDHRA PRADESH,Prakasam,Bestawaripeta,Moksha Gundum,0,3,0,0,0
ANDHRA PRADESH,Kadapa,Chinthakommadinne,Kadapa (M.corp) (Part)(M Corp),0,6,0,0,0
ANDHRA PRADESH,Chittoor,Thavanampalle,Sarakallu,0,2,0,0,0
ANDHRA PRADESH,Prakasam,Kanigiri,Challagirigala,0,2,0,0,0
ANDHRA PRADESH,Prakasam,Gudluru,Gudluru,0,0,1,0,0
ANDHRA PRADESH,Sri Potti Sriramul,Ojili,Bhuvanagiripalem,0,0,0,0,1
ANDHRA PRADESH,Visakhapatnam,Bheemunipatnam,Kothavalasa,0,0,0,0,2
ANDHRA PRADESH,Kadapa,Yerraguntla,Valasapalle,0,1,0,0,0
ANDHRA PRADESH,Vizianagaram,Kurupam,Dharmalalaxmipuram,0,9,0,0,0
ANDHRA PRADESH,West Godavari,Buttayagudem,Koyarajahmundry,0,0,0,0,1
ANDHRA PRADESH,Visakhapatnam,Bheemunipatnam,Chepalappada,0,0,0,0,1
ANDHRA PRADESH,Prakasam,Peda Araveedu,Sunkesula,0,0,0,0,2
ANDHRA PRADESH,Anantapur,Kundurpi,Kariganipalle,0,3,0,0,0
