State,District,Block/Tehsil,Village,No. of Surface Flow Schemes Permanently not in use due to - Salinity,No. of Surface Flow Schemes Permanently not in use due to - Dried up,No. of Surface Flow Schemes Permanently not in use due to - Destroyed beyond repair,No. of Surface Flow Schemes Permanently not in use due to - Sinking,No. of Surface Flow Schemes Permanently not in use due to - Other reasons
TELENGANA,Warangal ,Devaruppula ,Madoorkalan,14,0,0,0,0
TELENGANA,Karimnagar ,Karimnagar ,Lakshmipur,1,0,0,0,0
TELENGANA,Nalgonda ,Gundala ,Gundala,15,0,0,0,0
TELENGANA,Karimnagar ,Julapalle ,Wadkapur,0,1,0,0,0
TELENGANA,Warangal ,Ghanpur (Station) ,Tatikonda,0,0,0,0,5
TELENGANA,Mahbubnagar ,Kalwakurthy ,Vepur,1,0,0,0,0
TELENGANA,Nizamabad ,Dharpalle ,Nallavalle,0,0,0,0,1
TELENGANA,Rangareddy ,Maheswaram ,Mankhal,0,9,0,0,0
TELENGANA,Warangal ,Atmakur ,Ladalla,0,0,0,0,4
TELENGANA,Rangareddy ,Basheerabad ,Allapur (Basheerabad),0,1,0,0,0
TELENGANA,Nalgonda ,Mothey ,Mamillagudem,0,3,0,0,0
TELENGANA,Nalgonda ,Vemulapalle ,Mundlapahad,0,2,0,0,0
TELENGANA,Warangal ,Bhupalpalle ,Pambapur,0,0,0,0,1
TELENGANA,Mahbubnagar ,Jadcherla ,Bureddipalle,1,5,0,0,0
TELENGANA,Warangal ,Wardhannapet ,Wardhannapet,0,0,0,0,7
TELENGANA,Rangareddy ,Marpalle ,Thimmapur,0,1,0,0,0
TELENGANA,Mahbubnagar ,Jadcherla ,Kistaram,0,2,0,0,0
TELENGANA,Nalgonda ,M.Turkapalle ,Dharmaram,0,5,0,0,0
TELENGANA,Mahbubnagar ,Makthal ,Kamatpulmamidi,0,0,0,0,2
TELENGANA,Warangal ,Atmakur ,Choudla Palle,0,0,0,0,1
TELENGANA,Rangareddy ,Medchal ,Raj Bollaram,0,3,0,0,0
TELENGANA,Karimnagar ,Pegadapalle ,Vengalaipet,0,0,0,0,1
TELENGANA,Karimnagar ,Mallial ,Sarvapur,0,0,0,0,3
TELENGANA,Adilabad ,Jannaram ,Kawal,0,1,0,0,0
TELENGANA,Rangareddy ,Rajendranagar ,Narsingi(CT),0,2,0,0,0
TELENGANA,Mahbubnagar ,Jadcherla ,Jadcherla(CT),6,10,0,0,0
TELENGANA,Warangal ,Bhupalpalle ,Bhupalpalle(CT),0,0,0,0,1
TELENGANA,Nalgonda ,Gundala ,Palle Pahad,4,0,0,0,0
TELENGANA,Warangal ,Atmakur ,Singarajupalle,0,0,0,0,2
TELENGANA,Rangareddy ,Ibrahimpatnam ,Adibatla,0,3,0,0,0
TELENGANA,Nalgonda ,Chandur ,Kondapuram,1,0,0,0,0
TELENGANA,Nizamabad ,Dharpalle ,Mailaram,0,0,0,0,1
TELENGANA,Warangal ,Regonda ,Lingala,0,0,0,0,1
TELENGANA,Warangal ,Wardhannapet ,Dammannapet,0,0,0,0,3
TELENGANA,Nalgonda ,Marriguda ,Bhatla Palle,0,4,0,0,0
TELENGANA,Karimnagar ,Pegadapalle ,Narsimhunipeta,0,0,0,0,4
TELENGANA,Mahbubnagar ,Devarkadra ,Gaddeguda,0,2,0,0,0
TELENGANA,Nalgonda ,Choutuppal ,Nelapatla,0,1,0,0,0
TELENGANA,Nalgonda ,Ramannapeta ,Kunkudu Pamula,0,4,0,0,0
TELENGANA,Mahbubnagar ,Telkapalle ,Lakhnaram,0,1,0,0,1
TELENGANA,Rangareddy ,Shamshabad ,Chowderguda,0,1,0,0,0
TELENGANA,Nalgonda ,Gundala ,Turkala Shapur,4,0,0,0,0
TELENGANA,Nalgonda ,Choutuppal ,Tangad Palle,0,1,0,0,0
TELENGANA,Nalgonda ,M.Turkapalle ,Velpupalle,0,7,0,0,0
TELENGANA,Rangareddy ,Yacharam ,Medpalle,0,1,0,0,0
TELENGANA,Mahbubnagar ,Kosgi ,Kosgi,0,6,0,0,0
TELENGANA,Rangareddy ,Serilingampally ,Raidurg Nowkhalsa,0,2,0,0,0
TELENGANA,Rangareddy ,Yacharam ,Yacharam,0,2,0,0,0
TELENGANA,Karimnagar ,Elgaid ,Sivapalle,0,0,0,4,1
TELENGANA,Mahbubnagar ,Veldanda ,Pothepalle,0,0,1,0,0
TELENGANA,Nalgonda ,Marriguda ,Damera Bheeman Palle,0,6,0,0,0
TELENGANA,Warangal ,Ghanpur (Mulug) ,Ghanpur,0,0,0,0,1
TELENGANA,Karimnagar ,Kataram ,Jadaraopet,0,0,0,0,1
TELENGANA,Mahbubnagar ,Vangoor ,Nizamabad,3,0,0,0,0
TELENGANA,Nizamabad ,Kammarpalle ,Kammar Palle,0,0,0,0,1
TELENGANA,Nalgonda ,Gundala ,Suddala,2,0,0,0,0
TELENGANA,Warangal ,Devaruppula ,Kolkonda,7,0,0,0,0
TELENGANA,Rangareddy ,Hayathnagar ,Turkayamjal(CT),0,2,0,0,0
TELENGANA,Mahbubnagar ,Talakondapalle ,Khanapur,0,0,0,0,2
TELENGANA,Medak ,Shankarampet (R) ,Dharpalle,0,0,0,10,0
TELENGANA,Mahbubnagar ,Vangoor ,Rangapur,2,2,0,0,0
TELENGANA,Rangareddy ,Serilingampally ,Chandanagar,0,6,0,0,0
TELENGANA,Warangal ,Wardhannapet ,Katrial,0,0,0,0,5
TELENGANA,Medak ,Shankarampet (R) ,Khajapur,0,0,0,18,0
TELENGANA,Rangareddy ,Shankarpalle ,Kondakal,0,5,0,0,0
TELENGANA,Khammam ,Mudigonda ,Kamalapuram,0,0,0,0,1
TELENGANA,Karimnagar ,Jammikunta ,Jammikunta,0,10,0,0,0
TELENGANA,Mahbubnagar ,Keshampet ,Thommidirekula,0,0,0,0,4
TELENGANA,Warangal ,Devaruppula ,Dharamapur,3,0,0,0,0
TELENGANA,Mahbubnagar ,Hanwada ,Gundiyal,0,1,0,0,0
TELENGANA,Mahbubnagar ,Peddamandadi ,Pamireddipalle,0,4,0,0,0
TELENGANA,Nalgonda ,Ramannapeta ,Nidhanapalle,0,1,0,0,0
TELENGANA,Nalgonda ,Nuthankal ,Pedanemila,0,1,0,0,0
TELENGANA,Nalgonda ,Nuthankal ,Machan Palle,0,1,0,0,0
TELENGANA,Rangareddy ,Yelal ,Banapur,0,2,0,0,0
TELENGANA,Mahbubnagar ,Midjil ,Midjil,0,0,0,0,3
TELENGANA,Mahbubnagar ,Amangal ,Vasudevapur,0,1,0,0,0
TELENGANA,Medak ,Ramayampet ,Rayalapur,0,0,0,8,0
TELENGANA,Nalgonda ,Marriguda ,Tammad Palle,0,1,0,0,0
TELENGANA,Rangareddy ,Kandukur ,Annojiguda,0,2,0,0,0
TELENGANA,Khammam ,Khammam (Urban) ,Erlapudi,0,4,0,0,0
TELENGANA,Khammam ,Madhira ,Siddinenigudem,1,0,0,0,0
TELENGANA,Karimnagar ,Kathlapur ,Gambhirpur,0,0,0,0,1
TELENGANA,Rangareddy ,Hayathnagar ,Baljaguda,0,1,0,0,0
TELENGANA,Karimnagar ,Jammikunta ,Tekurthi,1,5,0,0,2
TELENGANA,Adilabad ,Luxettipet ,Gullakota,0,2,0,0,0
TELENGANA,Medak ,Shankarampet (R) ,Suraram,0,0,0,4,0
TELENGANA,Mahbubnagar ,Keshampet ,Kakunoor,0,0,0,0,12
TELENGANA,Nalgonda ,Suryapet ,Yendla Palle,2,0,0,0,0
TELENGANA,Rangareddy ,Hayathnagar ,Piglipur,0,1,0,0,0
TELENGANA,Nalgonda ,Munugode ,Kistapuram,0,0,0,0,1
TELENGANA,Mahbubnagar ,Madgul ,Girikothapalle,0,8,2,0,0
TELENGANA,Karimnagar ,Kodimial ,Kodimial,0,0,0,0,5
TELENGANA,Mahbubnagar ,Peddamandadi ,Mojerla,0,1,0,0,0
TELENGANA,Rangareddy ,Kandukur ,Nednur,0,6,0,0,0
TELENGANA,Mahbubnagar ,Tadoor ,Akunellikuduru,1,0,0,0,0
TELENGANA,Adilabad ,Kubeer ,Belgaon,0,0,0,0,1
TELENGANA,Karimnagar ,Mallial ,Myadampalle,0,0,0,0,3
TELENGANA,Mahbubnagar ,Vangoor ,Ulpara,4,0,1,0,0
TELENGANA,Mahbubnagar ,Tadoor ,Yatmatapur,1,0,0,0,0
TELENGANA,Mahbubnagar ,Keshampet ,Bhairkhanpalle,0,0,0,0,5
TELENGANA,Mahbubnagar ,Makthal ,Kachwar,0,0,0,0,1
TELENGANA,Karimnagar ,Karimnagar ,Elgandal,3,0,0,0,0
TELENGANA,Warangal ,Regonda ,Regonda,0,0,0,0,6
TELENGANA,Nalgonda ,Marriguda ,Lankalapalle,0,1,0,0,0
TELENGANA,Mahbubnagar ,Jadcherla ,Badepalle(CT),1,7,0,0,0
TELENGANA,Adilabad ,Ichoda ,Makhra (Khurd),0,1,0,0,0
TELENGANA,Nalgonda ,Marriguda ,Yergandlapalle,0,3,0,0,0
TELENGANA,Rangareddy ,Ibrahimpatnam ,Ibrahimpatnam (Bagath)(CT),0,3,0,0,0
TELENGANA,Warangal ,Sangam ,Pallaruguda,0,0,0,0,1
TELENGANA,Warangal ,Ghanpur (Station) ,Kothapalle,0,0,0,0,3
TELENGANA,Rangareddy ,Ibrahimpatnam ,Muknoor,0,3,0,0,0
TELENGANA,Karimnagar ,Mallial ,Obulapur,0,0,0,0,4
TELENGANA,Nalgonda ,Pochampalle ,Mehar Nagar,0,1,0,0,0
TELENGANA,Karimnagar ,Sarangapur ,Konapur,0,0,0,0,1
TELENGANA,Adilabad ,Kerameri  ,Kothari,0,1,0,0,0
TELENGANA,Nalgonda ,Gundala ,Marpadaga,2,0,0,0,2
TELENGANA,Nizamabad ,Kamareddy ,Isrojiwadi,0,0,0,0,1
TELENGANA,Nalgonda ,Choutuppal ,Khairathpur,0,1,0,0,0
TELENGANA,Rangareddy ,Uppal ,RAMANTHAPUR KHALSA,0,1,0,0,0
TELENGANA,Rangareddy ,Saroornagar ,Mansoorabad,0,2,0,0,0
TELENGANA,Mahbubnagar ,Jadcherla ,Chintaboinpalle,1,1,0,0,0
TELENGANA,Rangareddy ,Maheswaram ,Dabilguda,0,1,0,0,0
TELENGANA,Warangal ,Ghanpur (Station) ,Kondapur,0,3,0,0,0
TELENGANA,Medak ,Shankarampet (R) ,Sankhapur,0,0,0,2,0
TELENGANA,Nalgonda ,Kattangoor ,Kalmera,0,1,0,0,0
TELENGANA,Mahbubnagar ,Thimmajipet ,Marepalle,0,0,0,0,2
TELENGANA,Medak ,Ramayampet ,Chelmeda,0,0,0,7,0
TELENGANA,Mahbubnagar ,Wanaparthy ,Nagavaram,0,0,0,0,1
TELENGANA,Rangareddy ,Manchal ,Dadpalle,0,1,0,0,0
TELENGANA,Karimnagar ,Saidapur ,Somaram,0,0,0,0,3
TELENGANA,Rangareddy ,Ibrahimpatnam ,Ramdaspalle,0,3,0,0,0
TELENGANA,Adilabad ,Luxettipet ,Laxmipur,0,4,0,0,0
TELENGANA,Karimnagar ,Chigurumamidi ,Bommanapalle,0,10,0,0,0
TELENGANA,Nalgonda ,Nuthankal ,Mediguda,0,1,0,0,0
TELENGANA,Karimnagar ,Gambhiraopet ,Dammannapet,0,0,0,0,7
TELENGANA,Rangareddy ,Kandukur ,Lemoor,0,6,0,0,0
TELENGANA,Mahbubnagar ,Gopalpeta ,Yedula,0,3,0,0,0
TELENGANA,Mahbubnagar ,Midjil ,Madharam,0,0,0,0,9
TELENGANA,Rangareddy ,Shamirpet ,Thumkunta,0,8,0,0,0
TELENGANA,Warangal ,Ghanpur (Station) ,Chagal,0,0,0,0,7
TELENGANA,Rangareddy ,Balanagar ,HYDERNAGAR,0,2,0,0,0
TELENGANA,Adilabad ,Kotapalle ,Kondampet,0,0,0,0,2
TELENGANA,Rangareddy ,Maheswaram ,Dubbacherla,0,3,0,0,0
TELENGANA,Nalgonda ,Valigonda ,Nemili Kalawa,0,2,0,0,0
TELENGANA,Rangareddy ,Ibrahimpatnam ,Ramreddiguda,0,1,0,0,0
TELENGANA,Nizamabad ,Mortad ,Donkal,0,0,0,0,1
TELENGANA,Karimnagar ,Chigurumamidi ,Kondapur,0,3,0,0,0
TELENGANA,Warangal ,Devaruppula ,Devaruppula,8,1,0,0,0
TELENGANA,Nalgonda ,Thipparthi ,Madugula Palle,0,3,0,0,0
TELENGANA,Nalgonda ,Nakrekal ,Chandupatla,0,8,0,0,0
TELENGANA,Nalgonda ,Marriguda ,Metichandapur,0,2,0,0,0
TELENGANA,Rangareddy ,Saroornagar ,Balapur,0,4,0,0,0
TELENGANA,Nalgonda ,Valigonda ,Venkatapur,0,4,0,0,0
TELENGANA,Mahbubnagar ,Doulathabad ,Neetur,0,1,0,0,0
TELENGANA,Nalgonda ,Ramannapeta ,Dubbaka,0,2,0,0,0
TELENGANA,Rangareddy ,Yacharam ,Thatiparthy,0,4,0,0,0
TELENGANA,Warangal ,Ghanpur (Station) ,Fathepur,0,2,0,0,0
TELENGANA,Rangareddy ,Ibrahimpatnam ,Chintapalleguda,0,1,0,0,0
TELENGANA,Medak ,Ramayampet ,Dongal Dharmaram,0,0,0,3,0
TELENGANA,Mahbubnagar ,Doulathabad ,Gundepalle,0,1,0,0,0
TELENGANA,Nalgonda ,Thipparthi ,Suraram,0,2,0,0,1
TELENGANA,Medak ,Shankarampet (R) ,Chandampet,0,0,0,14,0
TELENGANA,Nalgonda ,Marriguda ,Kondur,0,1,0,0,0
TELENGANA,Rangareddy ,Tandur ,Veeredpalle,0,1,0,0,0
TELENGANA,Nalgonda ,Thipparthi ,Khajiramaram,0,2,0,0,0
TELENGANA,Khammam ,Madhira ,Kistapuram @ Munagala,1,0,0,0,0
TELENGANA,Rangareddy ,Ibrahimpatnam ,Pocharam,0,3,0,0,0
TELENGANA,Nalgonda ,Chintha Palle ,Gadya Gowraram,0,5,0,0,0
TELENGANA,Mahbubnagar ,Talakondapalle ,Rampur,0,0,0,0,4
TELENGANA,Nalgonda ,Valigonda ,Gurnath Palle,0,1,0,0,0
TELENGANA,Karimnagar ,Karimnagar ,Kothapalle(Haveli),1,2,0,1,0
TELENGANA,Rangareddy ,Ibrahimpatnam ,Tadlakalva,0,1,0,0,0
TELENGANA,Mahbubnagar ,Midjil ,Gudiganpalle,0,0,0,0,4
TELENGANA,Rangareddy ,Basheerabad ,Manthangoud,0,2,0,0,0
TELENGANA,Nalgonda ,M.Turkapalle ,Rusta Puram,0,4,0,0,0
TELENGANA,Rangareddy ,Bantwaram ,Barwad,0,2,0,0,0
TELENGANA,Nalgonda ,Nakrekal ,Nomula,0,1,0,0,0
TELENGANA,Rangareddy ,Basheerabad ,Koppankote,0,1,0,0,0
TELENGANA,Rangareddy ,Basheerabad ,Navalga,0,5,0,0,0
TELENGANA,Nizamabad ,Yellareddy ,Hemagiri,0,3,0,0,0
TELENGANA,Nalgonda ,Valigonda ,Sangam,0,4,0,0,0
TELENGANA,Nalgonda ,Chintha Palle ,Teeded,0,5,0,0,0
TELENGANA,Rangareddy ,Medchal ,Munirabad,0,1,0,0,0
TELENGANA,Rangareddy ,Maheswaram ,Mansanpalle,0,5,0,0,0
TELENGANA,Rangareddy ,Bantwaram ,Rampur,0,2,0,0,0
TELENGANA,Warangal ,Ghanpur (Station) ,Malkapur,0,1,0,0,0
TELENGANA,Rangareddy ,Medchal ,Goudavelle,0,6,0,0,0
TELENGANA,Mahbubnagar ,Jadcherla ,Vallur,0,2,0,0,0
TELENGANA,Medak ,Shankarampet (R) ,Ambajipet,0,0,0,2,0
TELENGANA,Mahbubnagar ,Gopalpeta ,Chennaram,0,1,0,0,0
TELENGANA,Nalgonda ,Valigonda ,Gokaram,0,1,0,0,0
TELENGANA,Mahbubnagar ,Jadcherla ,Uddandapur,0,1,0,0,0
TELENGANA,Warangal ,Bachannapet ,Kodavatoor,0,0,0,0,4
TELENGANA,Rangareddy ,Basheerabad ,Malkangiri,0,1,0,0,0
TELENGANA,Mahbubnagar ,Vangoor ,Dindichinthalapalle,2,0,0,0,0
TELENGANA,Karimnagar ,Gollapalle ,Raghavapatnam,0,0,0,0,2
TELENGANA,Mahbubnagar ,Balanagar ,Gouthapur,1,0,0,0,0
TELENGANA,Nalgonda ,Mothey ,Annarigudem,0,5,2,0,0
TELENGANA,Rangareddy ,Medchal ,Ghanpur,0,3,0,0,0
TELENGANA,Medak ,Patancheru ,Wadakpalle,0,0,0,0,1
TELENGANA,Mahbubnagar ,Madgul ,Anneboinpalle,0,6,0,0,0
TELENGANA,Nalgonda ,Nuthankal ,Ganjivari Kothapalle,0,1,0,0,0
TELENGANA,Rangareddy ,Manchal ,Nallacheru,0,1,0,0,0
TELENGANA,Rangareddy ,Maheswaram ,Subhanpur,0,3,0,0,0
TELENGANA,Mahbubnagar ,Midjil ,Jagboinpalle,0,0,0,0,5
TELENGANA,Karimnagar ,Kataram ,Vilasagar,0,0,0,0,4
TELENGANA,Karimnagar ,Mallial ,Manala,0,0,0,0,2
TELENGANA,Nalgonda ,Gundala ,Pedda Padishala,4,0,0,0,0
TELENGANA,Medak ,Sadasivpet ,Veltur,0,1,0,0,0
TELENGANA,Rangareddy ,Medchal ,Nuthankal,0,10,0,0,0
TELENGANA,Mahbubnagar ,Vangoor ,Polkampalle,8,1,0,0,0
TELENGANA,Medak ,Shankarampet (R) ,Turkala Mohammedapur,0,0,0,3,0
TELENGANA,Nalgonda ,Gundala ,Velmajala,6,0,0,0,3
TELENGANA,Karimnagar ,Kamanpur ,Velgalpahad,0,0,0,0,1
TELENGANA,Karimnagar ,Sarangapur ,Mangela,0,0,0,0,1
TELENGANA,Mahbubnagar ,Vangoor ,Gajra,1,0,0,0,0
TELENGANA,Rangareddy ,Vicarabad ,Girgetpalle (R),0,2,0,0,0
TELENGANA,Rangareddy ,Manchal ,Arutla,0,42,0,0,0
TELENGANA,Mahbubnagar ,Midjil ,Bommarasipalle,0,0,0,0,4
TELENGANA,Karimnagar ,Karimnagar ,Chintakunta (Part),3,1,0,0,0
TELENGANA,Rangareddy ,Tandur ,Chintamanipatam,0,1,0,0,0
TELENGANA,Rangareddy ,Bantwaram ,Kareempur,0,6,0,0,0
TELENGANA,Rangareddy ,Maheswaram ,Maheswaram,0,5,0,0,0
TELENGANA,Mahbubnagar ,Kalwakurthy ,Kalwakurthy(CT),6,0,0,0,0
TELENGANA,Nalgonda ,Thirumalgiri ,Thonda,0,2,0,0,0
TELENGANA,Karimnagar ,Jagtial ,Narsingapur (Part),0,0,0,0,1
TELENGANA,Karimnagar ,Elkathurthi ,Jeelgul,2,0,0,0,0
TELENGANA,Karimnagar ,Mustabad ,Aunoor,0,0,0,0,1
TELENGANA,Rangareddy ,Maheswaram ,Nagaram,0,4,0,0,0
TELENGANA,Warangal ,Duggondi ,Adavi Rangapur,0,0,0,0,1
TELENGANA,Rangareddy ,Shankarpalle ,Proddutur,0,1,0,0,0
TELENGANA,Mahbubnagar ,Madgul ,Aurpalle,0,4,1,0,0
TELENGANA,Mahbubnagar ,Makthal ,Sangambanda,0,0,0,0,1
TELENGANA,Rangareddy ,Hayathnagar ,TATTI ANNARAM,0,5,0,0,0
TELENGANA,Rangareddy ,Shamirpet ,Kothur,0,4,0,0,0
TELENGANA,Rangareddy ,Serilingampally ,Madeenaguda,0,2,0,0,0
TELENGANA,Rangareddy ,Doma ,Dadapur,0,1,0,0,0
TELENGANA,Mahbubnagar ,Talakondapalle ,Ravichedu,0,0,0,0,3
TELENGANA,Adilabad ,Kotapalle ,Edagatta,0,0,0,0,1
TELENGANA,Nalgonda ,M.Turkapalle ,Gandamalla,0,4,0,0,0
TELENGANA,Khammam ,Aswaraopeta ,Tirumalakunta,0,1,0,0,0
TELENGANA,Adilabad ,Mancherial ,Narsingapur,0,0,0,0,1
TELENGANA,Warangal ,Bachannapet ,Lingampalle,0,0,0,0,2
TELENGANA,Karimnagar ,Karimnagar ,Jublinagar,2,0,0,0,0
TELENGANA,Rangareddy ,Uppal ,UPPA BAGATH(M),0,1,0,0,0
TELENGANA,Karimnagar ,Gambhiraopet ,Kollamaddi,0,0,0,0,5
TELENGANA,Adilabad ,Kotapalle ,Mallampet,0,0,0,0,2
TELENGANA,Mahbubnagar ,Keshampet ,Lemamidi,0,0,0,0,5
TELENGANA,Medak ,Ramayampet ,Jamsing Lingapur,0,0,0,6,0
TELENGANA,Karimnagar ,Kataram ,Morepalle,0,0,0,0,1
TELENGANA,Nalgonda ,Vemulapalle ,Thopucherla,0,2,0,0,0
TELENGANA,Rangareddy ,Hayathnagar ,Marripalle,0,2,0,0,0
TELENGANA,Karimnagar ,Chigurumamidi ,Nawabpeta,0,6,0,0,0
TELENGANA,Warangal ,Chityal ,Vodthala,0,0,0,0,1
TELENGANA,Mahbubnagar ,Gopalpeta ,Bandaraipakula,0,1,0,0,0
TELENGANA,Nalgonda ,Marriguda ,Sarampet,0,2,0,0,0
TELENGANA,Rangareddy ,Maheswaram ,Raviryal,0,5,0,0,0
TELENGANA,Nalgonda ,M.Turkapalle ,Veerareddi Palle,0,2,0,0,0
TELENGANA,Nizamabad ,Bichkunda ,Bichkunda,0,0,0,0,1
TELENGANA,Nizamabad ,Kamareddy ,Adloor,0,0,0,0,1
TELENGANA,Rangareddy ,Basheerabad ,Marpalle,0,1,0,0,0
TELENGANA,Mahbubnagar ,Kosgi ,Balabhadraipalle,0,2,0,0,0
TELENGANA,Adilabad ,Kotapalle ,Borampalle,0,0,0,0,1
TELENGANA,Rangareddy ,Ibrahimpatnam ,Ferozguda,0,1,0,0,0
TELENGANA,Nizamabad ,Kammarpalle ,Manal,0,0,0,0,3
TELENGANA,Rangareddy ,Hayathnagar ,Pedda amberpet,0,4,0,0,0
TELENGANA,Adilabad ,Luxettipet ,Challampet,1,0,0,0,0
TELENGANA,Rangareddy ,Yacharam ,Chowderpalle,0,2,0,0,0
TELENGANA,Nalgonda ,Chintha Palle ,Polepalle Ramnagar,0,3,0,0,0
TELENGANA,Medak ,Shankarampet (R) ,Gavalpalle,0,0,0,16,0
TELENGANA,Karimnagar ,Chigurumamidi ,Sundaragiri,0,13,0,0,0
TELENGANA,Mahbubnagar ,Jadcherla ,Nagasala,1,0,0,0,0
TELENGANA,Rangareddy ,Shankarpalle ,Mahalingapuram,0,2,0,0,0
TELENGANA,Warangal ,Duggondi ,Duggondi,0,0,0,0,1
TELENGANA,Warangal ,Ghanpur (Station) ,Samudrala,0,0,0,0,6
TELENGANA,Nalgonda ,Valigonda ,Goparaj Palle,0,1,0,0,0
TELENGANA,Mahbubnagar ,Telkapalle ,Peddapalle,0,0,0,0,5
TELENGANA,Mahbubnagar ,Thimmajipet ,Gorita,0,0,0,0,1
TELENGANA,Mahbubnagar ,Ieej ,Thothinonidoddi,0,1,0,0,0
TELENGANA,Mahbubnagar ,Kosgi ,Ejipoor,0,1,0,0,0
TELENGANA,Nalgonda ,M.Turkapalle ,Mannevari Turkapalle,0,2,0,0,0
TELENGANA,Medak ,Ramayampet ,Parvathapur,0,0,0,3,0
TELENGANA,Warangal ,Ghanpur (Station) ,Shivunipalle(CT),0,0,0,0,1
TELENGANA,Nalgonda ,Nampalle ,Kethpalle (P) Pasnoor,0,5,0,0,0
TELENGANA,Rangareddy ,Kandukur ,Murlinagar,0,4,0,0,0
TELENGANA,Medak ,Doultabad ,Doultabad,0,1,0,0,0
TELENGANA,Karimnagar ,Mallial ,Rampur,0,1,0,0,4
TELENGANA,Karimnagar ,Mallial ,Maddutla,0,0,0,0,4
TELENGANA,Mahbubnagar ,Tadoor ,Polmur,1,0,0,0,0
TELENGANA,Medak ,Shankarampet (R) ,Kamaram,0,0,0,4,0
TELENGANA,Mahbubnagar ,Tadoor ,Yadireddipalle,1,0,0,0,0
TELENGANA,Nalgonda ,Pochampalle ,Deshmukhi,0,1,0,0,0
TELENGANA,Karimnagar ,Dharmaram ,Mallapur,0,4,0,0,0
TELENGANA,Rangareddy ,Basheerabad ,Damerched,0,5,1,0,0
TELENGANA,Nalgonda ,Ramannapeta ,Siripuram,0,8,0,0,0
TELENGANA,Nizamabad ,Navipet ,Binola,0,2,0,0,0
TELENGANA,Adilabad ,Mancherial ,Hajipur,1,0,0,0,0
TELENGANA,Rangareddy ,Maheswaram ,Nagireddipalle,0,3,0,0,0
TELENGANA,Rangareddy ,Shamirpet ,Mandaipalle,0,1,0,0,0
TELENGANA,Mahbubnagar ,Veldanda ,Kuppagandla,0,0,0,0,5
TELENGANA,Nalgonda ,Gundala ,Bandakotha Palle,3,0,0,0,0
TELENGANA,Mahbubnagar ,Bhoothpur ,Maddigatla,0,2,0,0,0
TELENGANA,Warangal ,Ghanpur (Station) ,Meedikonda,0,0,0,0,4
TELENGANA,Rangareddy ,Serilingampally ,Miyapur,0,3,0,0,0
TELENGANA,Mahbubnagar ,Talakondapalle ,Antharam,0,0,0,0,2
TELENGANA,Warangal ,Devaruppula ,Singarajpalle,2,1,0,0,0
TELENGANA,Medak ,Shankarampet (R) ,Korivipalle,0,0,0,9,0
TELENGANA,Mahbubnagar ,Balanagar ,Peddarevelly,0,1,0,0,0
TELENGANA,Mahbubnagar ,Wanaparthy ,Chityala,0,0,0,0,3
TELENGANA,Mahbubnagar ,Kosgi ,Mudireddipalle,0,1,0,0,0
TELENGANA,Karimnagar ,Ramadugu ,Thirmalapur,0,0,0,0,1
TELENGANA,Mahbubnagar ,Vangoor ,Mittasagude,1,0,0,0,0
TELENGANA,Mahbubnagar ,Balanagar ,Bibinagar,1,0,0,0,0
TELENGANA,Warangal ,Atmakur ,Kogilvai,0,0,0,0,6
TELENGANA,Rangareddy ,Hayathnagar ,Kuntloor,0,5,0,0,0
TELENGANA,Karimnagar ,Peddapalle ,Gowreddipeta,0,0,0,0,1
TELENGANA,Medak ,Patancheru ,Bhanur(CT),0,1,0,0,0
TELENGANA,Mahbubnagar ,Kothakota ,Ramanpadu,0,0,0,0,1
TELENGANA,Mahbubnagar ,Madgul ,Andugul,0,19,0,0,0
TELENGANA,Karimnagar ,Elkathurthi ,Damera,3,0,0,0,0
TELENGANA,Mahbubnagar ,Midjil ,Munnanur,0,0,0,0,3
TELENGANA,Mahbubnagar ,Gopalpeta ,Konkalapalle,0,2,0,0,0
TELENGANA,Karimnagar ,Husnabad ,Kuchanpalle,0,0,0,0,1
TELENGANA,Adilabad ,Luxettipet ,Venkataraopet,0,1,0,0,0
TELENGANA,Karimnagar ,Gollapalle ,Aggimalla,0,0,0,0,1
TELENGANA,Mahbubnagar ,Veldanda ,Lingareddipalle,0,0,0,0,1
TELENGANA,Nalgonda ,M.Turkapalle ,Ibrahimpur,0,2,0,0,0
TELENGANA,Nizamabad ,Dharpalle ,Dharpalle,0,0,0,0,1
TELENGANA,Mahbubnagar ,Talakondapalle ,Chukkapur,0,0,0,0,4
TELENGANA,Nalgonda ,Chintha Palle ,Takatla Palle,0,2,0,0,0
TELENGANA,Nalgonda ,Nuthankal ,Venke Palle,0,2,0,0,0
TELENGANA,Mahbubnagar ,Talakondapalle ,Vampuguda,0,0,0,0,4
TELENGANA,Rangareddy ,Serilingampally ,Khajaguda,0,2,0,0,0
TELENGANA,Mahbubnagar ,Jadcherla ,Polepalle,6,4,0,0,0
TELENGANA,Khammam ,Mudigonda ,Suvarnapuram,0,0,0,0,1
TELENGANA,Nalgonda ,Valigonda ,Verkat Palle,0,1,0,0,0
TELENGANA,Rangareddy ,Shamirpet ,Antaipalle,0,2,0,0,0
TELENGANA,Karimnagar ,Karimnagar ,Chamanpalle,2,1,0,0,0
TELENGANA,Rangareddy ,Ibrahimpatnam ,Polkampalle,0,2,0,0,0
TELENGANA,Karimnagar ,Kataram ,Adivarampet,0,0,0,0,1
TELENGANA,Rangareddy ,Hayathnagar ,Guntapalle,0,2,0,0,0
