State,District,Block/Tehsil,Village,No. of Surface Lift Schemes Permanently not in use due to - Salinity,No. of Surface Lift Schemes Permanently not in use due to - Dried up,No. of Surface Lift Schemes Permanently not in use due to - Destroyed beyond repair,No. of Surface Lift Schemes Permanently not in use due to - Sinking,No. of Surface Lift Schemes Permanently not in use due to - Other reasons
ODISHA,Khurda,BOLAGARH,MARADABADI,0,0,0,0,1
ODISHA,Sundargarh,BADAGAON,PETAPHODA,0,0,2,0,0
ODISHA,Bargarh,GAISILAT,RENGALPALI,0,0,2,0,0
ODISHA,Khurda,KHURDA,GOPINATHPUR,0,0,1,0,0
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),FERUPALI,0,0,1,0,0
ODISHA,Ganjam,CHHATRAPUR,HUMURI,0,0,1,0,0
ODISHA,Deogarh,RIAMAL,DALAK,0,0,1,0,0
ODISHA,Kendrapara,RAJKANIKA,KOTHOSAHI(KANTHSAHI),0,0,1,0,0
ODISHA,Ganjam,SORADA,SURAMANI,0,0,1,0,0
ODISHA,Ganjam,ASKA,GHATAKURI,0,0,1,0,0
ODISHA,Mayurbhanj,BADASAHI,BARAPADA,0,0,0,0,1
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),PATERKHAI,0,0,1,0,0
ODISHA,Bhadrak,CHANDABALI,SATHIBANKUDA,0,0,1,0,0
ODISHA,Kendrapara,DERABISHI,BENIPUR,0,0,2,0,0
ODISHA,Bargarh,GAISILAT,KUJAMUNDA,0,0,1,0,0
ODISHA,Khurda,TANGI,BAMBILO,0,1,0,0,1
ODISHA,Malkangiri,MATHILI,KATAPADARA,0,1,0,0,0
ODISHA,Sundargarh,LATHIKATA,JHADATARANGA,0,1,0,0,0
ODISHA,Puri,ASTARANG,KHANDASAHI,1,0,0,0,0
ODISHA,Kendrapara,PATTAMUNDAI,DAMODARPATNA,0,0,2,0,0
ODISHA,Khurda,BOLAGARH,KANARPUR,0,1,0,0,0
ODISHA,Nayagarh,RANAPUR,HATIBARI,0,0,0,0,1
ODISHA,Bhadrak,CHANDABALI,BALIGAON,0,0,1,0,0
ODISHA,Kalahandi,NARLA,BORINGPADAR,0,0,1,0,0
ODISHA,Kendrapara,RAJKANIKA,DEULSAHI,1,0,1,0,0
ODISHA,Deogarh,BARAKOTE,AMBAGAON,0,0,1,0,0
ODISHA,Sundargarh,NUAGAON,PURUNAPANI,0,0,0,0,1
ODISHA,Kendrapara,KENDRAPADA,BADMANTIA,0,0,2,0,0
ODISHA,Mayurbhanj,MURUDA,BANDHASAHI,0,1,0,0,0
ODISHA,Kendrapara,GARADPUR,KULTUTHA,0,0,1,0,0
ODISHA,Kendrapara,MAHAKALPADA,MANGALPUR,0,0,0,0,2
ODISHA,Kalahandi,KALAMPUR,BHELAGAON,0,0,3,0,0
ODISHA,Mayurbhanj,RARUAN,JAMUNALIA,0,0,1,0,0
ODISHA,Kendrapara,RAJNAGAR,MADHYAPADA,0,0,2,0,0
ODISHA,Mayurbhanj,SAMAKHUNTA,GAUDADIHA,0,1,1,0,0
ODISHA,Sonepur,TARAVA,NAKATIKANA,0,0,0,0,1
ODISHA,Bargarh,GAISILAT,BHOIPALI,0,0,1,0,0
ODISHA,Ganjam,SORADA,RAJAPUR,0,1,0,0,0
ODISHA,Malkangiri,MATHILI,PANGAM,0,0,0,0,1
ODISHA,Kendrapara,MAHAKALPADA,BIJAYNAGAR,0,0,0,0,4
ODISHA,Kendrapara,RAJKANIKA,LANGALBHANJ,0,0,1,0,0
ODISHA,Bhadrak,CHANDABALI,GANGADHARPUR,0,0,1,0,0
ODISHA,Bargarh,GAISILAT,GAISILAT,0,0,1,1,0
ODISHA,Keonjhar,JODA,KANDARA,0,0,4,0,0
ODISHA,Keonjhar,KEONJHAR SADAR,BODAPALASA,0,0,0,0,1
ODISHA,Kendrapara,PATTAMUNDAI,NILAKANTHAPUR,0,0,1,0,0
ODISHA,Bargarh,BIJEPUR,LABHAMUNDA,0,0,3,0,0
ODISHA,Puri,ASTARANG,NAGAPUR,1,1,0,0,0
ODISHA,Angul,PALALAHADA,RAJADANGA,0,0,2,0,0
ODISHA,Kendrapara,MAHAKALPADA,JAMARA,1,0,0,0,0
ODISHA,Kendrapara,KENDRAPADA,DHUMAT,0,2,2,0,0
ODISHA,Kendrapara,RAJNAGAR,NAGADA,0,0,2,0,0
ODISHA,Mayurbhanj,SARASAKANA,SANAKUNDALABANA,0,0,0,0,1
ODISHA,Khurda,BANAPUR,KANCHEIPUR,0,0,0,0,1
ODISHA,Kendrapara,RAJNAGAR,BANDHAPADA,0,0,2,0,0
ODISHA,Keonjhar,JODA,UCHABALI,0,0,1,0,0
ODISHA,Ganjam,POLASARA,KANKORADA,0,1,0,0,0
ODISHA,Kendrapara,KENDRAPADA,ALIJANG,0,0,2,0,0
ODISHA,Bargarh,BARGARH,KHUNTAPALI,0,0,0,0,1
ODISHA,Nawarangpur,NAWARANGPUR,KURULUGHATI,0,2,0,0,0
ODISHA,Bhadrak,TIHIDI,DOHARASAHI,1,0,0,0,0
ODISHA,Kendrapara,DERABISHI,BASUPUR,0,0,0,1,0
ODISHA,Khurda,KHURDA,KANKADAHAD,0,0,0,0,1
ODISHA,Ganjam,BHANJANAGAR,LALSING,0,0,1,0,0
ODISHA,Cuttack,NARASINGHPUR,GAMILO,0,0,0,0,1
ODISHA,Kendrapara,RAJKANIKA,KESHNAGAR,0,0,0,0,3
ODISHA,Ganjam,DHARAKOTE,GAMBHARIGUDA,0,0,2,0,0
ODISHA,Kalahandi,KALAMPUR,KERAMELI,0,0,1,0,0
ODISHA,Ganjam,JAGANNATHPRASAD,BUDURUNGU,0,0,2,0,0
ODISHA,Kendrapara,RAJKANIKA,BHAMANDA,0,0,0,0,2
ODISHA,Kendrapara,DERABISHI,MAHESPUR,0,0,1,0,0
ODISHA,Malkangiri,MATHILI,MARKAPALI,0,0,0,0,1
ODISHA,Kendrapara,MAHAKALPADA,ARADA,0,0,2,0,0
ODISHA,Khurda,BOLAGARH,NAUPADA,0,1,0,0,0
ODISHA,Ganjam,BHANJANAGAR,RAIPALI,0,0,1,0,0
ODISHA,Puri,KAKATPUR,CHAMPAHARA,0,0,2,0,0
ODISHA,Kendrapara,RAJKANIKA,BANSHARIA,0,0,0,0,1
ODISHA,Bhadrak,CHANDABALI,BHUINPUR,0,0,1,0,0
ODISHA,Bhadrak,TIHIDI,JAMAJODI,0,0,1,0,0
ODISHA,Bhadrak,TIHIDI,SATOIBATI,2,0,0,0,0
ODISHA,Sundargarh,LATHIKATA,NAKAKHANDIA,1,1,0,0,1
ODISHA,Kendrapara,AUL,DADHIBABANPUR,0,0,1,0,0
ODISHA,Angul,KANIHA,JHARA BERENI,0,0,0,0,1
ODISHA,Cuttack,BADAMBA,JAGANNATHPUR,0,0,4,0,0
ODISHA,Jagatsinghpur,ERASAMA,EKGHARIA,0,1,0,0,2
ODISHA,Sundargarh,BONAI,ADADIHI,0,0,1,0,0
ODISHA,Mayurbhanj,BETANATI,AMBAGADIA,0,2,1,0,0
ODISHA,Cuttack,NARASINGHPUR,PODAMALDESH,0,1,0,0,0
ODISHA,Kendrapara,MAHAKALPADA,OLIA NILAKANTHAPUR,0,0,0,0,1
ODISHA,Puri,ASTARANG,CHAKRAPADA,0,0,0,0,1
ODISHA,Jagatsinghpur,KUJANG,MALLASAHI,0,1,0,0,0
ODISHA,Malkangiri,MATHILI,SARADHAPUT,0,0,1,0,0
ODISHA,Mayurbhanj,BANGIRIPOSI,AANALAGUNJA,1,0,0,0,0
ODISHA,Kendrapara,RAJKANIKA,CHERANTPADA,0,0,0,0,2
ODISHA,Kendrapara,KENDRAPADA,BASPUR,0,0,2,0,0
ODISHA,Dhenkanal,HINDOL,KHALIBOREI,0,1,0,0,0
ODISHA,Keonjhar,GHASIPURA,BHAGANAI,0,0,2,0,0
ODISHA,Kendrapara,RAJKANIKA,BARTANI,0,0,0,0,1
ODISHA,Dhenkanal,GANDIA,PARBATKANI,0,0,0,0,1
ODISHA,Kendrapara,RAJKANIKA,DAANIGIRI,0,0,2,0,0
ODISHA,Kalahandi,KOKASARA,SUNAMAL,0,0,0,0,1
ODISHA,Khurda,BOLAGARH,KHANANTI,0,1,0,0,0
ODISHA,Mayurbhanj,SULIAPADA,BARI,0,0,0,1,0
ODISHA,Ganjam,HINJILICUT,GIRIANARAYANPUR,0,0,0,0,1
ODISHA,Ganjam,CHHATRAPUR,BARANGA,0,0,1,0,0
ODISHA,Mayurbhanj,SARASAKANA,BADAKACHHIMBILA,0,0,0,0,1
ODISHA,Kendrapara,MARSHAGHAI,AYATPUR,0,0,0,0,4
ODISHA,Cuttack,BADAMBA,NARANPUR,0,0,2,0,0
ODISHA,Mayurbhanj,BETANATI,BARTANA,0,0,1,0,0
ODISHA,Kendrapara,GARADPUR,SATHILO,0,0,1,0,0
ODISHA,Mayurbhanj,JASIPUR,ITAMUNDI,0,0,0,1,0
ODISHA,Mayurbhanj,SARASAKANA,AMBADIHA,0,0,0,0,1
ODISHA,Deogarh,BARAKOTE,PURUNAPANI,0,1,0,0,0
ODISHA,Mayurbhanj,RARUAN,BADARARUAN,0,0,1,0,0
ODISHA,Sundargarh,SUNDARGARH,KAINSARA,0,0,2,0,0
ODISHA,Puri,DELANGA,SADANGOI PASTIMABAD,0,1,0,0,0
ODISHA,Dhenkanal,SADAR,PATRABHAGA,0,2,0,0,0
ODISHA,Mayurbhanj,JASIPUR,KAJALA,0,0,1,0,0
ODISHA,Kendrapara,RAJNAGAR,GOBINDPUR,0,0,2,0,0
ODISHA,Bhadrak,TIHIDI,NUABANDHA,1,0,1,0,1
ODISHA,Dhenkanal,SADAR,SAPTASAJYA,0,0,1,0,0
ODISHA,Kendrapara,GARADPUR,BEDARI,0,0,0,1,0
ODISHA,Malkangiri,MATHILI,KIANGA,0,0,0,0,5
ODISHA,Bhadrak,CHANDABALI,SANTARA,1,0,0,0,0
ODISHA,Angul,KANIHA,KAMAREI,0,0,1,0,0
ODISHA,Kendrapara,DERABISHI,SANTHAPADA,0,0,1,1,2
ODISHA,Kendrapara,AUL,CHUNABANDHA,0,0,2,0,0
ODISHA,Dhenkanal,SADAR,KAIMATI,0,1,1,0,0
ODISHA,Khurda,BEGUNIA,KUNJAHARIPATANA,0,1,0,0,0
ODISHA,Puri,DELANGA,RATANAPUR,0,1,0,0,0
ODISHA,Kendrapara,RAJNAGAR,OSTIA,0,0,1,0,0
ODISHA,Khurda,TANGI,CHANARDHADI,0,1,0,0,0
ODISHA,Dhenkanal,HINDOL,BRAHMANPURUNAKOTE,0,0,1,0,0
ODISHA,Dhenkanal,HINDOL,KANDARASUNI,0,1,0,0,0
ODISHA,Jajpur,BARI,CHANDANPUR,0,0,0,0,1
ODISHA,Ganjam,PATRAPUR,CHIDIPUDI,0,0,0,0,1
ODISHA,Sambalpur,MANESWAR,SITELANPALI,0,0,1,0,0
ODISHA,Keonjhar,BANSPAL,PODADIHA,0,1,0,0,0
ODISHA,Sundargarh,BADAGAON,RENGALMAL,0,0,5,0,0
ODISHA,Kendrapara,RAJNAGAR,LAXMINARAYANPUR,0,1,0,0,0
ODISHA,Bhadrak,TIHIDI,BARASARA,0,0,2,0,0
ODISHA,Mayurbhanj,BADASAHI,GAUDASULA,0,0,1,0,0
ODISHA,Nawarangpur,PAPADAHANDI,MAJHIGUDA,0,0,0,0,5
ODISHA,Khurda,CHILIKA,KHARIBANDHA,0,0,0,0,1
ODISHA,Kendrapara,RAJKANIKA,BAGHABUDA,0,1,0,0,0
ODISHA,Kendrapara,MARSHAGHAI,BARATUNGA,0,0,0,0,1
ODISHA,Mayurbhanj,BETANATI,SARIA,0,1,1,0,0
ODISHA,Cuttack,NARASINGHPUR,MANPUR,0,0,1,0,0
ODISHA,Ganjam,PATRAPUR,SASAN,0,0,0,0,1
ODISHA,Kendrapara,RAJKANIKA,NUAGOAN,0,0,2,0,0
ODISHA,Kendrapara,AUL,NARENDRAPUR,0,0,2,0,0
ODISHA,Kendrapara,RAJKANIKA,BARUNA,0,0,4,0,0
ODISHA,Kendrapara,MAHAKALPADA,RANKI,0,0,0,0,2
ODISHA,Kalahandi,JUNAGAD,NANDOL,0,0,0,0,1
ODISHA,Mayurbhanj,RASAGOBINDAPUR,BADAMPUR,0,0,1,0,0
ODISHA,Kalahandi,KOKASARA,OLAMA,0,1,0,0,0
ODISHA,Deogarh,BARAKOTE,BAMPARDA,0,1,0,0,0
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),SARGIJORI,0,0,3,0,0
ODISHA,Jajpur,BINJHARPUR,RANAPUR,1,0,0,0,2
ODISHA,Mayurbhanj,SULIAPADA,RANGAMATIA,0,1,0,0,0
ODISHA,Cuttack,BADAMBA,KANJIAPAL,0,0,2,0,0
ODISHA,Bhadrak,BHANDARI POKHARI,KARANJAGUNAPUR,0,0,1,0,0
ODISHA,Kendrapara,MARSHAGHAI,JALPOK,0,0,0,0,4
ODISHA,Puri,ASTARANG,DERUNIA,1,0,0,0,0
ODISHA,Dhenkanal,HINDOL,CHITALPUR,0,0,1,0,0
ODISHA,Ganjam,DHARAKOTE,MUNDAMARAI,0,1,0,0,0
ODISHA,Rayagada,GUDARI,JAMUGUDA,0,0,1,0,0
ODISHA,Mayurbhanj,MURUDA,NICHUAPADA,0,0,0,0,1
ODISHA,Mayurbhanj,BETANATI,KATHAPALA,0,1,0,0,0
ODISHA,Bhadrak,BHANDARI POKHARI,NAGUAN,0,0,1,0,0
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),BIJAMAL,0,0,1,0,0
ODISHA,Sambalpur,JAMANKIRA,MUNDENPALI,0,0,1,0,0
ODISHA,Ganjam,JAGANNATHPRASAD,SORSHMULI,1,0,0,0,0
ODISHA,Kendrapara,MAHAKALPADA,MALIANCH,0,0,0,0,1
ODISHA,Ganjam,DHARAKOTE,BAKHARAKATA,0,1,0,0,0
ODISHA,Mayurbhanj,RARUAN,NAKASARA,0,1,0,0,0
ODISHA,Mayurbhanj,SULIAPADA,BILASA,0,1,1,0,0
ODISHA,Sundargarh,BADAGAON,BANSHIKAR,0,0,1,0,0
ODISHA,Mayurbhanj,SULIAPADA,PATHARA,1,0,0,0,0
ODISHA,Mayurbhanj,BETANATI,DRUGAPUR,0,0,4,0,0
ODISHA,Balangir,DEOGAON,KUTURLA,0,0,0,0,1
ODISHA,Malkangiri,MATHILI,KOTEPALI,0,0,2,0,0
ODISHA,Sundargarh,BISHRA,BIJADIHI,0,1,0,0,0
ODISHA,Malkangiri,MATHILI,BARA,0,0,1,0,0
ODISHA,Kendrapara,RAJKANIKA,NAHUNI,0,0,0,0,2
ODISHA,Mayurbhanj,RASAGOBINDAPUR,PATAGADIA,0,0,1,0,0
ODISHA,Puri,PURISADAR,SANUA,0,0,2,0,0
ODISHA,Sundargarh,LEPHRIPADA,BADHANAJHARIA,0,0,1,0,0
ODISHA,Balasore,BASTA,MUKUNDAPUR,0,0,1,0,0
ODISHA,Rayagada,CHANDRAPUR,DEBERI,0,0,1,0,0
ODISHA,Nawarangpur,NAWARANGPUR,JAMUGUDA,0,0,0,0,1
ODISHA,Mayurbhanj,SULIAPADA,PODADIHA,0,0,1,0,0
ODISHA,Keonjhar,JODA,BELADA,0,0,3,0,0
ODISHA,Bhadrak,BHANDARI POKHARI,NIRGUNDI,0,0,1,0,0
ODISHA,Puri,ASTARANG,PODASAHI,0,1,0,0,0
ODISHA,Sundargarh,SUNDARGARH,KHUNTADARAH,0,0,1,0,0
ODISHA,Puri,KAKATPUR,DEULI,0,1,1,0,0
ODISHA,Bargarh,GAISILAT,RAIMALPADAR,1,0,0,0,0
ODISHA,Malkangiri,MATHILI,AMBAPADA,0,0,0,0,1
ODISHA,Deogarh,BARAKOTE,THIANAL,0,0,0,0,1
ODISHA,Kendrapara,RAJKANIKA,HATSAHI,0,1,2,0,0
ODISHA,Mayurbhanj,SULIAPADA,JHALIAMARA,0,0,1,0,0
ODISHA,Dhenkanal,HINDOL,ESARAPAL,0,0,3,0,0
ODISHA,Bargarh,BIJEPUR,SAIPALI,0,0,1,0,1
ODISHA,Jajpur,BINJHARPUR,CHANDRAMUNHA,0,0,1,0,0
ODISHA,Kendrapara,AUL,CHANDIAGAD,0,0,0,0,1
ODISHA,Dhenkanal,SADAR,BHAPUR,0,1,0,0,0
ODISHA,Khurda,BOLAGARH,BARAPATIA,0,0,0,0,1
ODISHA,Mayurbhanj,KARANJIA,GIDHIBASA,0,0,0,0,1
ODISHA,Kendrapara,RAJKANIKA,TRAILOKYAPUR,0,0,1,0,0
ODISHA,Dhenkanal,BHUBAN,MARTHAPURSASAN,0,0,2,0,0
ODISHA,Balangir,BALANGIR,PHASADA,1,0,0,0,0
ODISHA,Kendrapara,AUL,GOBINDPUR,0,0,1,0,0
ODISHA,Bhadrak,TIHIDI,BAHARPALA,1,1,0,0,0
ODISHA,Mayurbhanj,RARUAN,GUHALAPUR,0,0,1,0,0
ODISHA,Keonjhar,GHASIPURA,KUMUNIA,0,0,2,0,0
ODISHA,Kendrapara,RAJKANIKA,SAFALANG,0,0,0,0,1
ODISHA,Nayagarh,RANAPUR,BALABHADRAPUR,0,0,2,0,0
ODISHA,Keonjhar,GHASIPURA,ODAPADA,0,0,1,0,0
ODISHA,Bargarh,GAISILAT,NUAPALI,0,0,0,0,1
ODISHA,Sundargarh,BADAGAON,RUNUGAON,0,0,2,0,0
ODISHA,Cuttack,NARASINGHPUR,GANAGANA,0,0,0,0,1
ODISHA,Mayurbhanj,RARUAN,SANARARUAN,0,0,1,0,0
ODISHA,Kendrapara,KENDRAPADA,AYABA,0,0,1,0,0
ODISHA,Jajpur,BINJHARPUR,BANAPUR,0,0,2,0,0
ODISHA,Bargarh,GAISILAT,KAMALPADAR,0,0,1,0,0
ODISHA,Nawarangpur,DABUGAON,BHALUGUDA,1,0,0,0,0
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),SAMPIA,0,0,4,0,0
ODISHA,Cuttack,BADAMBA,ICHHAPUR,0,0,1,0,0
ODISHA,Malkangiri,MATHILI,AMBAGUDA,0,0,3,0,0
ODISHA,Kendrapara,MAHAKALPADA,GOJABANDHA,0,0,0,0,1
ODISHA,Kendrapara,KENDRAPADA,BARUAL,0,0,0,0,1
ODISHA,Koraput,JEYPORE,JABAKONADI,0,5,1,1,0
ODISHA,Kendrapara,RAJKANIKA,SIOPADA,0,0,0,0,6
ODISHA,Kendrapara,MAHAKALPADA,JAYACHANDRAPUR,0,0,0,0,3
ODISHA,Dhenkanal,HINDOL,NUABAGA,0,1,0,0,0
ODISHA,Kendrapara,RAJKANIKA,UJANGA,0,0,4,0,0
ODISHA,Malkangiri,MATHILI,MEKA,0,0,1,0,1
ODISHA,Kalahandi,KOKASARA,MAJURSAI,0,1,0,1,0
ODISHA,Ganjam,DHARAKOTE,SUNAPALLI,0,0,1,0,0
ODISHA,Mayurbhanj,KARANJIA,BATAPALASA,0,1,0,0,0
ODISHA,Cuttack,NARASINGHPUR,SUBALAYA,0,2,0,0,0
ODISHA,Ganjam,DHARAKOTE,JAGANNATHPURSASAN,0,1,0,0,0
ODISHA,Sundargarh,BADAGAON,SALEBIRA,0,0,1,0,0
ODISHA,Kendrapara,MAHAKALPADA,SIKHAR,0,0,0,0,1
ODISHA,Mayurbhanj,SAMAKHUNTA,KARANJIA,0,0,0,0,1
ODISHA,Nayagarh,ODAGAON,RAGADIMADA,0,0,1,0,0
ODISHA,Puri,KAKATPUR,ODSAMAL,0,0,0,0,1
ODISHA,Mayurbhanj,RARUAN,NUAGAON C/O DHALAPOSI,0,0,2,0,0
ODISHA,Mayurbhanj,SULIAPADA,KEUTUNIMARI C/O BHAKASULA,0,1,0,0,0
ODISHA,Keonjhar,JODA,KAMALAPUR,0,0,2,0,0
ODISHA,Sonepur,DUNGURIPALI,PAIND,1,1,0,0,0
ODISHA,Kendrapara,MARSHAGHAI,BAIKUNTHAPUR,0,0,0,0,1
ODISHA,Puri,KANAS,TIGIRIA,0,1,0,0,1
ODISHA,Kendrapara,MAHAKALPADA,ORAT,0,0,0,0,2
ODISHA,Cuttack,BADAMBA,TULASIPUR,0,0,2,0,0
ODISHA,Mayurbhanj,BADASAHI,ITAMUNDIA,0,0,1,0,0
ODISHA,Kendrapara,RAJKANIKA,MALLISAHARA,0,0,0,0,1
ODISHA,Nayagarh,RANAPUR,KANDARAGADIA,0,0,1,0,0
ODISHA,Mayurbhanj,SARASAKANA,GONALI,1,0,0,0,0
ODISHA,Mayurbhanj,BETANATI,TARASULA,0,0,1,0,0
ODISHA,Cuttack,BADAMBA,DEULI,0,0,1,0,0
ODISHA,Mayurbhanj,SULIAPADA,BAGHADA,0,0,0,0,1
ODISHA,Khurda,TANGI,JHATINUAGAON,0,0,0,0,1
ODISHA,Ganjam,CHHATRAPUR,HANSHAPUR,0,0,3,0,0
ODISHA,Bhadrak,TIHIDI,NANDAKANDARPA,1,0,0,0,0
ODISHA,Rayagada,MUNIGUDA,KUTURPALI,0,0,1,0,0
ODISHA,Kendrapara,AUL,JUANIA,0,0,2,0,0
ODISHA,Malkangiri,MATHILI,DANGURASI,0,0,0,0,2
ODISHA,Ganjam,BHANJANAGAR,HARIGAD,0,0,1,0,0
ODISHA,Sonepur,BINIKA,SINDHURPUR,1,0,0,0,0
ODISHA,Keonjhar,JODA,CHAMAKPUR,0,0,3,0,0
ODISHA,Bhadrak,TIHIDI,NANDOR,1,0,0,0,0
ODISHA,Mayurbhanj,RARUAN,MUNDAKATA,0,0,2,0,0
ODISHA,Kalahandi,NARLA,TEROL,0,1,4,0,0
ODISHA,Kendrapara,RAJKANIKA,MIRZAPUR,0,0,3,0,0
ODISHA,Kalahandi,JUNAGAD,KHINBAHALI,0,0,0,0,1
ODISHA,Bhadrak,TIHIDI,ARJUNABINDHA,0,0,0,0,1
ODISHA,Kendrapara,GARADPUR,TALAKUSUMA,0,0,1,0,0
ODISHA,Dhenkanal,KAMAKHYANAGAR,SOGARKATENI,0,1,0,0,0
ODISHA,Bhadrak,TIHIDI,MADHAPUR,1,0,0,0,0
ODISHA,Kendrapara,DERABISHI,ADHANGAMALLIKESWARPUR,0,0,1,0,0
ODISHA,Kendrapara,RAJKANIKA,ROUTBARTANA,0,0,1,0,0
ODISHA,Kendrapara,PATTAMUNDAI,DAMARPUR,0,0,0,0,1
ODISHA,Nawarangpur,PAPADAHANDI,HATIBEDA,0,0,0,0,1
ODISHA,Kendrapara,RAJNAGAR,JAGANNATHPURSHASAN,0,0,1,0,0
ODISHA,Bhadrak,TIHIDI,GUDAPALA,1,0,0,0,0
ODISHA,Kendrapara,AUL,BELSARPUR,0,0,1,0,0
ODISHA,Dhenkanal,GANDIA,LAHADA,0,0,0,1,0
ODISHA,Bargarh,BIJEPUR,PUTUKA,0,0,0,0,1
ODISHA,Balasore,OUPADA,PAIKPADA,1,0,0,0,0
ODISHA,Keonjhar,JODA,JAGANNATHPUR,0,0,2,0,0
ODISHA,Kendrapara,RAJNAGAR,BADHINAKOLHA,0,1,1,0,0
ODISHA,Bargarh,BIJEPUR,MSRIGIDA,0,0,2,0,0
ODISHA,Kendrapara,PATTAMUNDAI,DANDISAHI,0,0,0,0,1
ODISHA,Sambalpur,KUCHINDA,BRAMHANIDIHI,0,1,0,0,0
ODISHA,Sambalpur,MANESWAR,JADULOISINGHA,0,0,1,0,1
ODISHA,Nawarangpur,PAPADAHANDI,MAHULI,0,1,0,0,2
ODISHA,Bhadrak,BHANDARI POKHARI,RAGHUNATHPUR,0,0,1,0,0
ODISHA,Kendrapara,MARSHAGHAI,POSTA,0,0,0,0,1
ODISHA,Nuapada,KHARIAR,KULIGAON,0,0,1,0,0
ODISHA,Keonjhar,GHASIPURA,TARUAN,0,0,1,0,0
ODISHA,Kendrapara,RAJNAGAR,RAJPUR,0,0,0,1,0
ODISHA,Mayurbhanj,BARIPADA,MADHAPUR,0,1,0,0,0
ODISHA,Kendrapara,RAJKANIKA,BAGADIHAPATNA,1,0,0,0,0
ODISHA,Mayurbhanj,RARUAN,MENDHAMUNDI,0,0,2,0,0
ODISHA,Kendrapara,MARSHAGHAI,THAURI,0,0,0,0,2
ODISHA,Kendrapara,MAHAKALPADA,MAHAKALPADA,0,0,1,0,1
ODISHA,Mayurbhanj,UDALA,DUGDHA,0,0,3,0,0
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),KENDUMUNDA,0,0,1,0,0
ODISHA,Dhenkanal,BHUBAN,ODHANA,0,0,1,0,0
ODISHA,Nawarangpur,NAWARANGPUR,MANTRIGUDA,0,1,0,0,0
ODISHA,Kendrapara,AUL,SANANKO,0,0,1,0,0
ODISHA,Malkangiri,MATHILI,KENDUGUDA,0,0,3,0,0
ODISHA,Malkangiri,MATHILI,GANGARAJGUDA,0,0,1,0,0
ODISHA,Kendrapara,MARSHAGHAI,DIHABALRAMPUR,0,0,1,0,4
ODISHA,Puri,KAKATPUR,NARANPUR,0,0,1,0,0
ODISHA,Mayurbhanj,BADASAHI,SINGATIA,0,0,1,0,0
ODISHA,Dhenkanal,KAMAKHYANAGAR,KANTAPAL,0,0,0,0,1
ODISHA,Kendrapara,RAJKANIKA,DOMUNDA(BARA),0,0,2,0,0
ODISHA,Kendrapara,AUL,PATANPENTH,0,0,1,0,0
ODISHA,Kendrapara,AUL,HINGAL,0,0,1,0,0
ODISHA,Balasore,BASTA,MATHANI,0,0,0,0,1
ODISHA,Keonjhar,JODA,DANAPUR,0,0,2,0,0
ODISHA,Jajpur,SUKINDA,KARGALA,0,0,1,0,0
ODISHA,Khurda,TANGI,KUTURIJHAR,0,0,0,0,1
ODISHA,Dhenkanal,GANDIA,KHANKAR,0,0,0,0,1
ODISHA,Nawarangpur,PAPADAHANDI,AUNLI,0,0,0,0,14
ODISHA,Kendrapara,RAJKANIKA,GOBANKA,0,0,1,0,0
ODISHA,Malkangiri,KALIMELA,ARBANPALLI,0,0,1,2,0
ODISHA,Khurda,TANGI,JAJAPUR,0,1,0,0,0
ODISHA,Dhenkanal,KAMAKHYANAGAR,MAHULPAL,0,0,0,0,1
ODISHA,Malkangiri,KUDUMULUGUMMA,M.V.36 (NEHRUPALI),0,0,1,0,0
ODISHA,Ganjam,SORADA,BUGUDA,0,0,1,0,0
ODISHA,Bargarh,BHATALI,BADAMAL,0,2,1,0,1
ODISHA,Cuttack,NARASINGHPUR,SUKAT,0,0,0,0,3
ODISHA,Kendrapara,RAJKANIKA,HABELIGANDPATNA,0,0,1,0,0
ODISHA,Mayurbhanj,BAHALADA,TENTALA,0,0,1,0,0
ODISHA,Sundargarh,BISHRA,KALIAPOSH,0,0,1,0,0
ODISHA,Mayurbhanj,BETANATI,BHANAPURA,0,0,2,0,0
ODISHA,Kendrapara,RAJKANIKA,GANGADHARPRASADDIA,0,0,1,1,0
ODISHA,Kendrapara,GARADPUR,GOTRABIL,1,0,0,0,0
ODISHA,Dhenkanal,GANDIA,BALLAVA,0,0,0,0,1
ODISHA,Bhadrak,TIHIDI,BILANA,0,0,2,0,0
ODISHA,Kendrapara,PATTAMUNDAI,AMRUTAMONAHI,0,0,0,0,1
ODISHA,Kendrapara,AUL,SUDARSANPUR,0,0,0,0,1
ODISHA,Kendrapara,RAJKANIKA,BARUNADIA,0,0,1,0,3
ODISHA,Kendrapara,AUL,ENDAL,0,0,3,0,0
RAJASTHAN,AJMER,ARAI,INDOLI,0,2,0,0,0
RAJASTHAN,BUNDI,INDRAGARH,JAADLA,0,0,0,0,2
TAMIL NADU,TUTICORIN,SATTANKULAM,PANNAMPARAI,0,0,0,0,7
TAMIL NADU,TIRUVANNAMALAI,VEMBAKKAM,KANAGAMPAKKAM,0,1,0,0,0
