State,District,Block/Tehsil,Village,values,problem
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Others
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,3,Salinity
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,1,Dried_up
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Others
ANDHRA PRADESH,Anantapur,Bukkaraya Samudram,Podaralla,0,Salinity
ANDHRA PRADESH,Anantapur,Bukkaraya Samudram,Podaralla,1,Dried_up
ANDHRA PRADESH,Anantapur,Bukkaraya Samudram,Podaralla,0,Destroyed
ANDHRA PRADESH,Anantapur,Bukkaraya Samudram,Podaralla,0,Sea_water
ANDHRA PRADESH,Anantapur,Bukkaraya Samudram,Podaralla,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bukkaraya Samudram,Podaralla,0,Project
ANDHRA PRADESH,Anantapur,Bukkaraya Samudram,Podaralla,0,Others
ANDHRA PRADESH,Anantapur,Chennekothapalle,Chennekothapalle,0,Salinity
ANDHRA PRADESH,Anantapur,Chennekothapalle,Chennekothapalle,3,Dried_up
ANDHRA PRADESH,Anantapur,Chennekothapalle,Chennekothapalle,3,Destroyed
ANDHRA PRADESH,Anantapur,Chennekothapalle,Chennekothapalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Chennekothapalle,Chennekothapalle,0,Factory_waste
