State,District,Block/Tehsil,Village,values,problem
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,3,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Katiganikalva,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Katiganikalva,2,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Katiganikalva,8,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Katiganikalva,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Katiganikalva,0,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Katiganikalva,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Katiganikalva,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Kodimi,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Kodimi,2,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Kodimi,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Kodimi,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Kodimi,0,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Kodimi,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Kodimi,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Mannila,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Mannila,1,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Mannila,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Mannila,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Mannila,2,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Mannila,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Mannila,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Somanadoddi,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Somanadoddi,6,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Somanadoddi,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Somanadoddi,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Somanadoddi,0,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Somanadoddi,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Somanadoddi,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,2,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Upparapalle,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Upparapalle,1,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Upparapalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Upparapalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Upparapalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Upparapalle,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Upparapalle,0,Others
ANDHRA PRADESH,Anantapur,Atmakur,Goridindla,3,Salinity
ANDHRA PRADESH,Anantapur,Atmakur,Goridindla,0,Dried_up
ANDHRA PRADESH,Anantapur,Atmakur,Goridindla,0,Destroyed
ANDHRA PRADESH,Anantapur,Atmakur,Goridindla,1,Sea_water
ANDHRA PRADESH,Anantapur,Atmakur,Goridindla,0,Factory_waste
ANDHRA PRADESH,Anantapur,Atmakur,Goridindla,0,Project
ANDHRA PRADESH,Anantapur,Atmakur,Goridindla,0,Others
ANDHRA PRADESH,Anantapur,Atmakur,Padamatiyaleru,0,Salinity
ANDHRA PRADESH,Anantapur,Atmakur,Padamatiyaleru,0,Dried_up
ANDHRA PRADESH,Anantapur,Atmakur,Padamatiyaleru,1,Destroyed
ANDHRA PRADESH,Anantapur,Atmakur,Padamatiyaleru,0,Sea_water
ANDHRA PRADESH,Anantapur,Atmakur,Padamatiyaleru,0,Factory_waste
ANDHRA PRADESH,Anantapur,Atmakur,Padamatiyaleru,0,Project
ANDHRA PRADESH,Anantapur,Atmakur,Padamatiyaleru,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Apparacheruvu,0,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Apparacheruvu,1,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Apparacheruvu,0,Destroyed
